"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","RXEF110-ND","RXEF110","PTC RESET FUSE 72V 1.1A RADIAL","","1","0","0.46000","0.46"
"2","1","401-1288-ND","DA102J12S215PQF","SWITCH ROCKER SPST 16A 125V","","0","1","1.32000","1.32"
"3","1","CF14JT120RCT-ND","CF14JT120R","RES 120 OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"4","1","1568-1601-ND","COM-10002","KNOB KNURLED 0.236"" METAL","","1","0","1.50000","1.50"
"5","32","1N4148FSCT-ND","1N4148TR","DIODE GEN PURP 100V 200MA DO35","","32","0","0.05360","1.72"
"6","10","507-1793-1-ND","0ZCJ0005FF2E","PTC RESET FUSE 60V 50MA 1206","","10","0","0.12500","1.25"
"7","1","PEC11R-4215F-S0024-ND","PEC11R-4215F-S0024","ROTARY ENCODER MECHANICAL 24PPR","","0","1","1.68000","1.68"
"8","11","493-12812-1-ND","UVR2A0R1MDD1TD","CAP ALUM 0.1UF 20% 100V RADIAL","","11","0","0.16400","1.80"
"9","11","497-1404-5-ND","L4940V5","IC REG LINEAR 5V 1.5A TO220AB","","11","0","1.35100","14.86"
"10","22","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 1/4W 5% AXIAL","","22","0","0.04000","0.88"
"11","66","CF14JT470RCT-ND","CF14JT470R","RES 470 OHM 1/4W 5% AXIAL","","66","0","0.02200","1.45"
"12","11","BC33740TACT-ND","BC33740TA","TRANS NPN 45V 0.8A TO-92","","11","0","0.24600","2.71"
"13","22","AE10387-ND","A-2004-2-4-LPS-N-R","CONN MOD JACK 8P8C R/A SHIELDED","","22","0","0.92300","20.31"
"14","11","401-1976-ND","D6R50 F1 LFS","SWITCH PUSH SPST-NO 0.1A 32V","","11","0","1.17000","12.87"
"15","11","401-1975-ND","D6R40 F1 LFS","SWITCH PUSH SPST-NO 0.1A 32V","","11","0","0.89200","9.81"
